tekst
"Na #WIG20 zmiany:

➡️#CCC opuszcza indeks, w jego miejsce wchodzi dziś #ALIOR

📊📈Na wykresie akcji CCC widzimy marazm powyżej 36,50 zł

Słabość wzrostowego odreagowania sugeruje ryzyko powrotu na wsparcie przy 33 zł

https://t.co/yuYBVsZiko https://t.co/l61G1emNDw"
"Od dziś #ALIOR zmiast #CCC w #WIG20 - jak to mówią, timing is everything..."
"#WIG20 Moje 10 wybranych spółek na wykresach tygodniowych, które będę obserwował przez najbliższy czas. #Allegro #CCC #CDR #CPS https://t.co/U67RvLzMLN"
"Jutro $Alior zastapi $CCC w #WIG20. 
Another bank."
"Jest w tym coś romantycznego, że akcje #CCC drożeją jako jedyne z #WIG20, po tym jak Dariusz Miłek wystawił samolot na sprzedaż. 😃 https://t.co/5t6Ifh4EIB"
"Chciałem zwrócić uwagę na ten temat, ale... ""podebrał"" mi go @TrysteroBlog ;) Podaję dalej, bo wątek trafia w punkt. Uważam również, że to ważna kwestia dla inwestorów i spekulantów (banki-&gt;#WIG20). Ponadto, od 20.03 w indeksie znów będzie 5 banków (Alior zastąpi CCC)"
"#AliorBank wejdzie w skład indeksu #WIG20 w miejsce #CCC 
https://t.co/3w6RclZ0lO"
"Alior Bank za CCC w #WIG20 - GPW

Rewizja po sesji 17/03

#ALR #CCC"
"#GPW #wig20 #wig #polityka
#USA #chiny
😱Poniedziałkowy odwrót na
 GPW❗️

📋Słabe wyniki gigantów technologicznych 

🛩Incydent na linii Chiny - USA

🚭To wszystko przygasiło optymizm

🔴WIG20 -2,17%📉

💃Tańczymy na wsparciu 1861pkt

Spółki⤵️:
CCC -4,40%
PZU -3,60%
Kruk -3,28% https://t.co/Ezm6DZ3RhK"
"W portfelu pozostało: 
Asbis #asb 4,82% ✅ 
#CCC 2,92% ✅

Sprzedane że stratą: 
Cognor #cog po 7.05 z 7.19 ❌

JSW nie zachowało się tak jakbym tego chciał, nie ruszam. 
Cały czas obserwuję Lubawę #lbw - upatruję w niej ""tej spółki"" na ten rok.
 #GPW #wig20"
"CCC In 40.80 zł 
#CCC #WIG20"
"Trochę się zgapilem po tej informacji.

Strata, out po 41.5.
#CCC

#newconnect #gpw #wig20 #wig #mwig40 #swig80 #gamedev #gaming"
"#bogdanka
#bumech 
#jsw
Weglowki bardzo przyzwoicie.

#ccc pięknie
#tsgames w ogonie ale z potencjałem.

#newconnect #gpw #wig20 #wig #mwig40 #swig80 #gamedev #gaming https://t.co/YphL781BPj"
"Ruszamy.
#CCC

#newconnect #gpw #wig20 #wig #mwig40 #swig80 #gamedev #gaming"
"Pracują na futures.
Signal m15.

Podwoilem pozycję.
#CCC

#newconnect #gpw #wig20 #wig #mwig40 #swig80 #gamedev #gaming"
"Delikatna redukcja bogny 53
Dla spekulantów więc... jestem już w środku.
42.3 
#CCC

#newconnect #gpw #wig20 #wig #mwig40 #swig80 #gamedev #gaming"
"Dla spekulantow
#CCC

#newconnect #gpw #wig20 #wig #mwig40 #swig80 #gamedev #gaming"
"Liczby śrd:

1) #WIG20 +1,66% do 1855
2) #CCC +6,65% &gt;MA200
3) #Millennium +10,4% 
4) #XTPL +13,4%, #Chiny
5) #RPP stopy bez zmian 6,75%
6) #PMI usł. w strefie 49,8 prog. 49,1
7) #DAX&gt;14,4k 
8) #ISM prz. w USA 48,4 prog. 48,5
9) #oil WTI -5% do 73,1
10) #BTC 16,8k
11) i...?"
"#gpw #wig20 #giełda #allegro #CCC #kęty
📊Indeksy na GPW niżej na koniec roku❗️

📉Ostatnia sesja giełdowego roku przyniosła mieszane nastroje na szerokim rynku i spadki na WIG20

❌️Najwięcej traciły takie spółki jak:
Allegro -1,51%
CCC -1,43%
KETY -1,30% https://t.co/SfxZiYZdMd"
"Liczby śrd:

1) #WIG20 +0,11% do 1767,88
2) #CCC +4,5%; blisko MA200
3) #Sunex +8,7%
4) #Comp -5,1%
5) 4 spółki z NC z &gt;1M obrotu
6) #Tesla 8$ od 100$
7) #DAX broni MA50
8) #oil WTI&lt;78
9) #gold test 1800
10) #ETH broni 1200
11) ...?"
"Liczby wt:

1) #WIG20 -0,8% do 1765,87
2) #CCC +2,6%, 4 sesja na +
3) #XTPL +17,5%; deal Chiny
4) #Mobruk +4%, obrona 275
5) #Lewiatan: 67% firm narzeka
6) #EURPLN +1% do 4,69; death cross MA50/200
7) #Gold 1824
8) #ShanghaiComp +1%&gt;MA50; #covid luz
9) i...?"
